,invoice_date,product,region,retailer,sales_method,state,price_per_unit,total_sales,units_sold,year,month
20,2020-02-02,Women's Street Footwear,Northeast,Foot Locker,0,New York,40,3600,90,2020,2
21,2020-03-02,Women's Athletic Footwear,Northeast,Foot Locker,0,New York,45,3713,83,2020,3
22,2020-04-02,Men's Apparel,Northeast,Foot Locker,0,New York,60,4950,83,2020,4
23,2020-05-02,Women's Apparel,Northeast,Foot Locker,0,New York,50,4750,95,2020,5
24,2020-06-02,Men's Street Footwear,Northeast,Foot Locker,0,New York,60,7320,122,2020,6
25,2020-07-02,Men's Athletic Footwear,Northeast,Foot Locker,0,New York,55,5088,93,2020,7
26,2020-08-02,Women's Street Footwear,Northeast,Foot Locker,0,New York,50,4500,90,2020,8
27,2020-09-02,Women's Athletic Footwear,Northeast,Foot Locker,0,New York,50,4250,85,2020,9
28,2020-10-02,Men's Apparel,Northeast,Foot Locker,0,New York,60,5250,88,2020,10
29,2020-03-03,Women's Apparel,Northeast,Foot Locker,0,New York,65,6500,100,2020,3
30,2020-04-03,Men's Street Footwear,Northeast,Foot Locker,0,New York,60,7500,125,2020,4
31,2020-05-03,Men's Athletic Footwear,Northeast,Foot Locker,0,New York,55,5500,100,2020,5
32,2020-06-03,Women's Street Footwear,Northeast,Foot Locker,0,New York,50,4625,93,2020,6
33,2020-07-03,Women's Athletic Footwear,Northeast,Foot Locker,0,New York,50,4500,90,2020,7
34,2020-08-03,Men's Apparel,Northeast,Foot Locker,0,New York,60,5400,90,2020,8
35,2020-09-03,Women's Apparel,Northeast,Foot Locker,0,New York,65,6825,105,2020,9
36,2020-10-03,Men's Street Footwear,Northeast,Foot Locker,0,New York,60,7650,128,2020,10
37,2020-11-03,Men's Athletic Footwear,Northeast,Foot Locker,0,New York,55,5638,103,2020,11
38,2020-12-03,Women's Street Footwear,Northeast,Foot Locker,0,New York,50,4750,95,2020,12
39,2020-03-13,Women's Athletic Footwear,Northeast,Foot Locker,0,New York,50,4500,90,2020,3
40,2020-03-14,Men's Apparel,Northeast,Foot Locker,0,New York,60,5550,93,2020,3
41,2020-03-15,Women's Apparel,Northeast,Foot Locker,0,New York,65,7150,110,2020,3
42,2020-03-16,Men's Street Footwear,Northeast,Foot Locker,0,New York,60,7500,125,2020,3
43,2020-03-17,Men's Athletic Footwear,Northeast,Foot Locker,0,New York,55,5638,103,2020,3
44,2020-03-18,Women's Street Footwear,Northeast,Foot Locker,0,New York,50,4750,95,2020,3
45,2020-03-31,Women's Athletic Footwear,Northeast,Foot Locker,0,New York,50,4625,93,2020,3
46,2020-04-17,Men's Apparel,Northeast,Walmart,0,New York,60,5400,90,2020,4
47,2020-04-18,Women's Apparel,Northeast,Walmart,0,New York,65,6988,108,2020,4
48,2020-04-19,Men's Street Footwear,Northeast,Walmart,0,New York,60,7200,120,2020,4
49,2020-04-20,Men's Athletic Footwear,Northeast,Walmart,0,New York,55,5500,100,2020,4
50,2020-04-21,Women's Street Footwear,Northeast,Walmart,0,New York,50,4625,93,2020,4
51,2020-04-22,Women's Athletic Footwear,Northeast,Walmart,0,New York,50,4500,90,2020,4
52,2020-04-23,Men's Apparel,Northeast,Walmart,0,New York,60,5400,90,2020,4
53,2020-04-24,Women's Apparel,Northeast,Walmart,0,New York,65,6500,100,2020,4
54,2020-04-25,Men's Apparel,Northeast,Walmart,0,New York,65,5688,88,2020,4
55,2020-04-26,Women's Apparel,Northeast,Walmart,0,New York,70,7000,100,2020,4
56,2020-04-27,Men's Street Footwear,Northeast,Walmart,0,New York,65,7475,115,2020,4
57,2020-04-28,Men's Athletic Footwear,Northeast,Walmart,0,New York,55,5363,98,2020,4
58,2020-04-29,Women's Street Footwear,Northeast,Walmart,0,New York,55,5060,92,2020,4
59,2020-04-30,Women's Athletic Footwear,Northeast,Walmart,0,New York,55,4950,90,2020,4
60,2020-01-05,Men's Apparel,Northeast,Walmart,0,New York,65,5688,88,2020,1
61,2020-02-05,Women's Apparel,Northeast,Walmart,0,New York,70,6825,98,2020,2
62,2020-03-05,Men's Street Footwear,Northeast,Walmart,0,New York,65,7800,120,2020,3
63,2020-04-05,Men's Athletic Footwear,Northeast,Walmart,0,New York,55,5500,100,2020,4
64,2020-05-05,Women's Street Footwear,Northeast,Walmart,0,New York,55,5225,95,2020,5
65,2020-06-05,Women's Athletic Footwear,Northeast,Walmart,0,New York,55,4950,90,2020,6
66,2020-07-05,Men's Apparel,Northeast,Walmart,0,New York,65,5850,90,2020,7
67,2020-07-18,Women's Apparel,Northeast,Walmart,0,New York,70,7000,100,2020,7
68,2020-07-19,Men's Street Footwear,Northeast,Sports Direct,0,New York,25,2250,90,2020,7
69,2020-07-20,Men's Athletic Footwear,Northeast,Sports Direct,0,New York,35,3150,90,2020,7
70,2020-07-21,Women's Street Footwear,Northeast,Sports Direct,0,New York,35,2450,70,2020,7
71,2020-07-22,Women's Athletic Footwear,Northeast,Sports Direct,0,New York,35,2450,70,2020,7
72,2020-07-23,Men's Apparel,South,Sports Direct,0,Texas,40,2200,55,2020,7
73,2020-07-24,Women's Apparel,South,Sports Direct,0,Texas,35,2450,70,2020,7
74,2020-07-25,Men's Street Footwear,South,Sports Direct,0,Texas,25,2125,85,2020,7
75,2020-07-26,Men's Athletic Footwear,South,Sports Direct,0,Texas,35,2975,85,2020,7
76,2020-07-27,Women's Street Footwear,South,Sports Direct,0,Texas,35,2363,68,2020,7
77,2020-07-28,Women's Athletic Footwear,South,Sports Direct,0,Texas,35,2188,63,2020,7
78,2020-07-29,Men's Apparel,South,Sports Direct,0,Texas,40,2000,50,2020,7
79,2020-07-30,Women's Apparel,South,Sports Direct,0,Texas,35,2450,70,2020,7
80,2020-07-31,Men's Street Footwear,South,Sports Direct,0,Texas,30,2625,88,2020,7
81,2020-01-08,Men's Athletic Footwear,South,Sports Direct,0,Texas,40,3500,88,2020,1
82,2020-02-08,Women's Street Footwear,South,Sports Direct,0,Texas,35,2450,70,2020,2
83,2020-03-08,Women's Athletic Footwear,South,Sports Direct,0,Texas,40,2400,60,2020,3
84,2020-04-08,Men's Apparel,South,Sports Direct,0,Texas,45,2250,50,2020,4
85,2020-05-08,Women's Apparel,South,Sports Direct,0,Texas,40,2600,65,2020,5
86,2020-06-08,Men's Street Footwear,South,Sports Direct,0,Texas,30,2700,90,2020,6
87,2020-07-08,Men's Athletic Footwear,South,Sports Direct,0,Texas,40,3600,90,2020,7
88,2020-08-08,Women's Street Footwear,South,Sports Direct,0,Texas,35,2538,73,2020,8
89,2020-09-08,Women's Athletic Footwear,South,Sports Direct,0,Texas,40,2500,63,2020,9
90,2020-10-08,Men's Apparel,South,Walmart,0,Texas,45,2363,53,2020,10
91,2020-11-08,Women's Apparel,South,Walmart,0,Texas,40,3200,80,2020,11
92,2020-12-08,Men's Street Footwear,South,Walmart,0,Texas,30,2775,93,2020,12
93,2020-08-13,Men's Athletic Footwear,South,Walmart,0,Texas,40,3700,93,2020,8
94,2020-08-14,Women's Street Footwear,South,Walmart,0,Texas,35,2713,78,2020,8
95,2020-08-15,Women's Athletic Footwear,South,Walmart,0,Texas,40,2800,70,2020,8
96,2020-08-16,Men's Apparel,South,Walmart,0,Texas,45,2700,60,2020,8
97,2020-08-17,Women's Apparel,South,Walmart,0,Texas,40,3800,95,2020,8
98,2020-08-18,Men's Street Footwear,South,Walmart,0,Texas,40,3800,95,2020,8
99,2020-08-19,Men's Athletic Footwear,South,Walmart,0,Texas,45,4275,95,2020,8
100,2020-08-20,Women's Street Footwear,South,Walmart,0,Texas,40,3200,80,2020,8
101,2020-08-21,Women's Athletic Footwear,South,Walmart,0,Texas,40,3000,75,2020,8
102,2020-08-22,Men's Apparel,South,Walmart,0,Texas,45,2925,65,2020,8
103,2020-08-23,Women's Apparel,South,Walmart,0,Texas,50,5000,100,2020,8
104,2020-08-24,Men's Street Footwear,South,Walmart,0,Texas,40,3800,95,2020,8
105,2020-08-25,Men's Athletic Footwear,South,Walmart,0,Texas,45,4275,95,2020,8
106,2020-08-26,Women's Street Footwear,South,Walmart,0,Texas,40,4400,110,2020,8
107,2020-08-27,Women's Athletic Footwear,South,Walmart,0,Texas,40,2800,70,2020,8
108,2020-08-28,Men's Apparel,South,Walmart,0,Texas,45,3150,70,2020,8
109,2020-08-29,Women's Apparel,South,Walmart,0,Texas,50,4875,98,2020,8
110,2020-08-30,Men's Street Footwear,South,Walmart,0,Texas,40,3700,93,2020,8
111,2020-08-31,Men's Athletic Footwear,South,Walmart,0,Texas,45,4163,93,2020,8
112,2020-01-09,Women's Street Footwear,South,Walmart,0,Texas,40,4400,110,2020,1
113,2020-02-09,Women's Athletic Footwear,South,Walmart,0,Texas,40,2600,65,2020,2
114,2020-03-09,Men's Apparel,South,Walmart,0,Texas,45,2925,65,2020,3
115,2020-04-09,Women's Apparel,South,Walmart,0,Texas,50,4500,90,2020,4
116,2020-05-09,Men's Street Footwear,South,Walmart,0,Texas,45,3825,85,2020,5
117,2020-06-09,Men's Athletic Footwear,South,Walmart,0,Texas,45,3825,85,2020,6
118,2020-07-09,Women's Street Footwear,South,Walmart,0,Texas,50,4500,90,2020,7
119,2020-08-09,Women's Athletic Footwear,South,Walmart,0,Texas,50,3125,63,2020,8
120,2020-09-09,Men's Apparel,South,Walmart,0,Texas,45,2813,63,2020,9
121,2020-10-09,Women's Apparel,South,Walmart,0,Texas,55,4675,85,2020,10
122,2020-11-09,Men's Street Footwear,South,Walmart,0,Texas,45,3600,80,2020,11
123,2020-12-09,Men's Athletic Footwear,South,Walmart,0,Texas,45,3600,80,2020,12
124,2020-09-13,Women's Street Footwear,South,Walmart,0,Texas,50,3750,75,2020,9
125,2020-09-14,Women's Athletic Footwear,South,Walmart,0,Texas,50,3000,60,2020,9
126,2020-09-15,Men's Apparel,South,Walmart,0,Texas,45,2588,58,2020,9
127,2020-09-16,Women's Apparel,South,Walmart,0,Texas,55,4125,75,2020,9
128,2020-10-20,Men's Street Footwear,South,Walmart,0,Texas,45,4050,90,2020,10
129,2020-10-21,Men's Athletic Footwear,South,Walmart,0,Texas,45,4050,90,2020,10
130,2020-10-22,Women's Street Footwear,South,Walmart,0,Texas,50,4125,83,2020,10
131,2020-10-23,Women's Athletic Footwear,South,Walmart,0,Texas,50,3375,68,2020,10
132,2020-10-24,Men's Apparel,South,Walmart,0,Texas,45,2925,65,2020,10
133,2020-10-25,Women's Apparel,South,Walmart,0,Texas,55,4675,85,2020,10
134,2020-10-26,Men's Street Footwear,South,Walmart,0,Texas,45,4275,95,2020,10
135,2020-10-27,Men's Athletic Footwear,South,Walmart,0,Texas,45,4275,95,2020,10
136,2020-10-28,Women's Street Footwear,South,Walmart,0,Texas,50,4250,85,2020,10
137,2020-10-29,Women's Athletic Footwear,South,Walmart,0,Texas,50,3500,70,2020,10
138,2020-10-30,Men's Apparel,South,Walmart,0,Texas,45,2925,65,2020,10
139,2020-10-31,Women's Apparel,South,Walmart,0,Texas,55,4950,90,2020,10
140,2020-01-11,Men's Street Footwear,South,West Gear,0,Texas,40,3100,78,2020,1
141,2020-02-11,Men's Athletic Footwear,South,West Gear,0,Texas,50,3875,78,2020,2
142,2020-03-11,Women's Street Footwear,South,West Gear,0,Texas,50,3875,78,2020,3
143,2020-04-11,Women's Athletic Footwear,South,West Gear,0,Texas,50,3125,63,2020,4
144,2020-05-11,Men's Apparel,West,West Gear,0,California,55,3163,58,2020,5
145,2020-06-11,Women's Apparel,West,West Gear,0,California,50,3875,78,2020,6
146,2020-07-11,Men's Street Footwear,West,West Gear,0,California,40,3300,83,2020,7
147,2020-08-11,Men's Athletic Footwear,West,West Gear,0,California,50,3625,73,2020,8
148,2020-09-11,Women's Street Footwear,West,West Gear,0,California,50,3625,73,2020,9
149,2020-10-11,Women's Athletic Footwear,West,West Gear,0,California,50,2875,58,2020,10
150,2020-11-11,Men's Apparel,West,West Gear,0,California,55,2750,50,2020,11
151,2020-12-11,Women's Apparel,West,West Gear,0,California,50,3500,70,2020,12
152,2020-11-13,Men's Street Footwear,West,West Gear,0,California,50,4250,85,2020,11
153,2020-11-14,Men's Athletic Footwear,West,West Gear,0,California,60,4200,70,2020,11
154,2020-11-15,Women's Street Footwear,West,West Gear,0,California,60,4200,70,2020,11
155,2020-12-22,Women's Athletic Footwear,West,West Gear,0,California,60,3600,60,2020,12
156,2020-12-23,Men's Apparel,West,West Gear,0,California,65,3250,50,2020,12
157,2020-12-24,Women's Apparel,West,West Gear,0,California,60,4200,70,2020,12
158,2020-12-25,Men's Street Footwear,West,West Gear,0,California,60,5250,88,2020,12
159,2020-12-26,Men's Athletic Footwear,West,West Gear,0,California,65,4388,68,2020,12
160,2020-12-27,Women's Street Footwear,West,West Gear,0,California,65,4713,73,2020,12
161,2020-12-28,Women's Athletic Footwear,West,West Gear,0,California,60,3750,63,2020,12
162,2020-12-29,Men's Apparel,West,West Gear,0,California,65,3413,53,2020,12
163,2020-12-30,Women's Apparel,West,West Gear,0,California,80,5600,70,2020,12
164,2020-12-31,Men's Street Footwear,West,West Gear,0,California,60,5400,90,2020,12
165,2021-01-01,Men's Athletic Footwear,West,West Gear,0,California,65,4875,75,2021,1
166,2021-02-01,Women's Street Footwear,West,West Gear,0,California,65,4875,75,2021,2
167,2021-03-01,Women's Athletic Footwear,West,West Gear,0,California,60,3900,65,2021,3
168,2021-04-01,Men's Apparel,West,West Gear,0,California,65,3575,55,2021,4
169,2021-05-01,Women's Apparel,West,West Gear,0,California,80,5800,73,2021,5
170,2021-06-01,Men's Street Footwear,West,West Gear,0,California,60,5850,98,2021,6
171,2021-07-01,Men's Athletic Footwear,West,West Gear,0,California,65,5363,83,2021,7
172,2021-08-01,Women's Street Footwear,West,West Gear,0,California,65,5363,83,2021,8
173,2021-09-01,Women's Athletic Footwear,West,West Gear,0,California,60,4200,70,2021,9
174,2021-10-01,Men's Apparel,West,West Gear,0,California,65,3738,58,2021,10
175,2021-11-01,Women's Apparel,West,West Gear,0,California,80,7000,88,2021,11
176,2021-12-01,Men's Street Footwear,West,West Gear,0,California,60,6150,103,2021,12
177,2021-01-13,Men's Athletic Footwear,West,West Gear,0,California,65,5688,88,2021,1
178,2021-01-14,Women's Street Footwear,West,West Gear,0,California,65,5363,83,2021,1
179,2021-01-15,Women's Athletic Footwear,West,West Gear,0,California,60,4350,73,2021,1
180,2021-01-16,Men's Apparel,West,West Gear,0,California,65,5038,78,2021,1
181,2021-01-17,Women's Apparel,West,West Gear,0,California,80,6200,78,2021,1
182,2021-01-18,Men's Street Footwear,West,West Gear,0,California,65,6338,98,2021,1
183,2021-01-19,Men's Athletic Footwear,West,West Gear,0,California,70,6475,93,2021,1
184,2021-01-20,Women's Street Footwear,West,West Gear,0,California,65,5200,80,2021,1
185,2021-01-21,Women's Athletic Footwear,West,West Gear,0,California,65,4875,75,2021,1
186,2021-01-22,Men's Apparel,West,West Gear,0,California,75,5625,75,2021,1
187,2021-01-23,Women's Apparel,West,West Gear,0,California,80,5800,73,2021,1
188,2021-01-24,Men's Street Footwear,West,West Gear,0,California,55,5088,93,2021,1
189,2021-01-25,Men's Athletic Footwear,West,West Gear,0,California,60,5550,93,2021,1
190,2021-01-26,Women's Street Footwear,West,West Gear,0,California,55,4263,78,2021,1
191,2021-01-27,Women's Athletic Footwear,West,West Gear,0,California,55,3988,73,2021,1
192,2021-01-28,Men's Apparel,West,West Gear,0,California,65,4713,73,2021,1
193,2021-01-29,Women's Apparel,West,West Gear,0,California,70,5425,78,2021,1
194,2021-01-30,Men's Street Footwear,West,West Gear,0,California,55,4813,88,2021,1
195,2021-01-31,Men's Athletic Footwear,West,West Gear,0,California,60,5250,88,2021,1
196,2021-01-02,Women's Street Footwear,West,West Gear,0,California,55,3850,70,2021,1
197,2021-02-02,Women's Athletic Footwear,West,West Gear,0,California,55,3713,68,2021,2
198,2021-03-02,Men's Apparel,West,West Gear,0,California,65,4225,65,2021,3
199,2021-04-02,Women's Apparel,West,West Gear,0,California,70,4900,70,2021,4
200,2021-05-02,Men's Street Footwear,West,West Gear,0,California,55,4813,88,2021,5
201,2021-06-02,Men's Athletic Footwear,West,West Gear,0,California,60,5250,88,2021,6
202,2021-07-02,Women's Street Footwear,West,West Gear,0,California,55,3988,73,2021,7
203,2021-08-02,Women's Athletic Footwear,West,West Gear,0,California,55,3850,70,2021,8
204,2021-09-02,Men's Apparel,West,West Gear,0,California,65,4225,65,2021,9
205,2021-10-02,Women's Apparel,West,West Gear,0,California,70,5425,78,2021,10
206,2021-11-02,Men's Street Footwear,West,West Gear,0,California,55,5363,98,2021,11
207,2021-12-02,Men's Athletic Footwear,West,West Gear,0,California,60,5850,98,2021,12
208,2021-02-13,Women's Street Footwear,West,West Gear,0,California,55,4263,78,2021,2
209,2021-02-14,Women's Athletic Footwear,West,West Gear,0,California,55,4263,78,2021,2
210,2021-02-15,Men's Apparel,West,West Gear,0,California,65,4550,70,2021,2
211,2021-02-16,Women's Apparel,West,West Gear,0,California,70,5600,80,2021,2
212,2021-02-17,Men's Street Footwear,West,Kohl's,0,California,35,2450,70,2021,2
213,2021-02-18,Men's Athletic Footwear,West,Kohl's,0,California,45,3150,70,2021,2
214,2021-09-03,Women's Street Footwear,West,Kohl's,0,California,45,3150,70,2021,9
215,2021-10-03,Women's Athletic Footwear,West,Kohl's,0,California,45,2475,55,2021,10
216,2021-11-03,Men's Apparel,West,Kohl's,0,California,50,2500,50,2021,11
217,2021-12-03,Women's Apparel,West,Kohl's,0,California,45,3150,70,2021,12
218,2021-03-13,Men's Street Footwear,West,Kohl's,0,California,35,2625,75,2021,3
219,2021-03-14,Men's Athletic Footwear,West,Kohl's,0,California,45,2925,65,2021,3
220,2021-03-15,Women's Street Footwear,West,Kohl's,0,California,45,3038,68,2021,3
221,2021-03-16,Women's Athletic Footwear,West,Kohl's,0,California,45,2363,53,2021,3
222,2021-03-17,Men's Apparel,West,Kohl's,0,California,50,2250,45,2021,3
223,2021-03-18,Women's Apparel,West,Kohl's,0,California,45,2925,65,2021,3
224,2021-03-19,Men's Street Footwear,West,Kohl's,0,California,35,2800,80,2021,3
225,2021-03-20,Men's Athletic Footwear,West,Kohl's,0,California,45,2925,65,2021,3
226,2021-03-21,Women's Street Footwear,West,Kohl's,0,California,45,2925,65,2021,3
227,2021-03-22,Women's Athletic Footwear,West,Kohl's,0,California,45,2475,55,2021,3
228,2021-03-23,Men's Apparel,West,Kohl's,0,California,50,2125,43,2021,3
229,2021-06-04,Women's Apparel,West,Kohl's,0,California,45,2813,63,2021,6
230,2021-07-04,Men's Street Footwear,West,Kohl's,0,California,45,3600,80,2021,7
231,2021-08-04,Men's Athletic Footwear,West,Kohl's,0,California,50,3000,60,2021,8
232,2021-09-04,Women's Street Footwear,West,Kohl's,0,California,50,3125,63,2021,9
233,2021-10-04,Women's Athletic Footwear,West,Kohl's,0,California,45,2363,53,2021,10
234,2021-11-04,Men's Apparel,West,Kohl's,0,California,50,2125,43,2021,11
235,2021-12-04,Women's Apparel,West,Kohl's,0,California,65,3900,60,2021,12
236,2021-04-13,Men's Street Footwear,West,Kohl's,0,California,45,3600,80,2021,4
237,2021-04-14,Men's Athletic Footwear,West,Kohl's,0,California,50,3250,65,2021,4
238,2021-04-15,Women's Street Footwear,West,Kohl's,0,California,50,3250,65,2021,4
239,2021-04-16,Women's Athletic Footwear,West,Kohl's,0,California,45,2475,55,2021,4
240,2021-04-17,Men's Apparel,West,Kohl's,0,California,50,2250,45,2021,4
241,2021-04-18,Women's Apparel,West,Kohl's,0,California,65,4063,63,2021,4
242,2021-04-19,Men's Street Footwear,West,Kohl's,0,California,45,4050,90,2021,4
243,2021-04-20,Men's Athletic Footwear,West,Kohl's,0,California,50,3750,75,2021,4
244,2021-04-21,Women's Street Footwear,West,Kohl's,0,California,50,3750,75,2021,4
245,2021-04-22,Women's Athletic Footwear,West,Kohl's,0,California,45,2813,63,2021,4
246,2021-04-23,Men's Apparel,West,Kohl's,0,California,50,2500,50,2021,4
247,2021-04-24,Women's Apparel,West,Kohl's,0,California,65,5200,80,2021,4
248,2021-04-25,Men's Street Footwear,West,Kohl's,0,California,45,4275,95,2021,4
249,2021-04-26,Men's Athletic Footwear,West,Kohl's,0,California,50,4000,80,2021,4
250,2021-04-27,Women's Street Footwear,West,Kohl's,0,California,50,3750,75,2021,4
251,2021-04-28,Women's Athletic Footwear,West,Kohl's,0,California,45,2925,65,2021,4
252,2021-04-29,Men's Apparel,West,Kohl's,0,California,50,3500,70,2021,4
253,2021-04-30,Women's Apparel,West,Kohl's,0,California,65,4550,70,2021,4
254,2021-01-05,Men's Street Footwear,West,Kohl's,0,California,50,4500,90,2021,1
255,2021-02-05,Men's Athletic Footwear,West,Kohl's,0,California,55,4675,85,2021,2
256,2021-03-05,Women's Street Footwear,West,Kohl's,0,California,50,3625,73,2021,3
257,2021-04-05,Women's Athletic Footwear,West,Kohl's,0,California,50,3375,68,2021,4
258,2021-05-05,Men's Apparel,West,Kohl's,0,California,60,4050,68,2021,5
259,2021-06-05,Women's Apparel,West,Kohl's,0,California,65,4225,65,2021,6
260,2021-07-05,Men's Street Footwear,West,Kohl's,0,California,50,4250,85,2021,7
261,2021-08-05,Men's Athletic Footwear,West,Kohl's,0,California,55,4675,85,2021,8
262,2021-09-05,Women's Street Footwear,West,Kohl's,0,California,50,3500,70,2021,9
263,2021-10-05,Women's Athletic Footwear,West,Kohl's,0,California,50,3250,65,2021,10
264,2021-11-05,Men's Apparel,West,Kohl's,0,California,60,3900,65,2021,11
265,2021-12-05,Women's Apparel,West,Kohl's,0,California,65,4550,70,2021,12
266,2021-05-13,Men's Street Footwear,West,Kohl's,0,California,50,4000,80,2021,5
267,2021-05-14,Men's Athletic Footwear,West,Kohl's,0,California,55,4400,80,2021,5
268,2021-05-15,Women's Street Footwear,West,Kohl's,0,California,50,3250,65,2021,5
269,2021-05-16,Women's Athletic Footwear,West,Kohl's,0,California,50,3125,63,2021,5
270,2021-05-17,Men's Apparel,West,Kohl's,0,California,60,3600,60,2021,5
271,2021-05-18,Women's Apparel,West,Kohl's,0,California,65,4225,65,2021,5
272,2021-05-19,Men's Street Footwear,West,Kohl's,0,California,50,4125,83,2021,5
273,2021-05-20,Men's Athletic Footwear,West,Kohl's,0,California,55,4538,83,2021,5
274,2021-05-21,Women's Street Footwear,West,Kohl's,0,California,50,3375,68,2021,5
275,2021-05-22,Women's Athletic Footwear,West,Kohl's,0,California,50,3250,65,2021,5
276,2021-05-23,Men's Apparel,West,Kohl's,0,California,60,3600,60,2021,5
277,2021-05-24,Women's Apparel,West,Kohl's,0,California,65,4550,70,2021,5
278,2021-05-25,Men's Street Footwear,West,Kohl's,0,California,50,4500,90,2021,5
279,2021-05-26,Men's Athletic Footwear,West,Kohl's,0,California,55,4950,90,2021,5
280,2021-05-27,Women's Street Footwear,West,Kohl's,0,California,50,3500,70,2021,5
281,2021-05-28,Women's Athletic Footwear,West,Kohl's,0,California,50,3500,70,2021,5
282,2021-05-29,Men's Apparel,West,Kohl's,0,California,60,3750,63,2021,5
283,2021-05-30,Women's Apparel,West,Kohl's,0,California,65,4713,73,2021,5
284,2021-05-31,Men's Street Footwear,West,Foot Locker,0,California,45,2138,48,2021,5
285,2021-01-06,Men's Athletic Footwear,West,Foot Locker,0,California,45,1238,28,2021,1
286,2021-02-06,Women's Street Footwear,West,Foot Locker,0,California,35,963,28,2021,2
287,2021-03-06,Women's Athletic Footwear,West,Foot Locker,0,California,40,500,13,2021,3
288,2021-04-06,Men's Apparel,Midwest,Foot Locker,0,Illinois,55,963,18,2021,4
289,2021-05-06,Women's Apparel,Midwest,Foot Locker,0,Illinois,45,1238,28,2021,5
290,2021-06-06,Men's Street Footwear,Midwest,Foot Locker,0,Illinois,45,2363,53,2021,6
291,2021-07-06,Men's Athletic Footwear,Midwest,Foot Locker,0,Illinois,45,788,18,2021,7
292,2021-08-06,Women's Street Footwear,Midwest,Foot Locker,0,Illinois,35,788,23,2021,8
293,2021-09-06,Women's Athletic Footwear,Midwest,Foot Locker,0,Illinois,40,400,10,2021,9
294,2021-10-06,Men's Apparel,Midwest,Foot Locker,0,Illinois,55,963,18,2021,10
295,2021-11-06,Women's Apparel,Midwest,Foot Locker,0,Illinois,45,1238,28,2021,11
296,2021-12-06,Men's Street Footwear,Midwest,Foot Locker,0,Illinois,50,2475,50,2021,12
297,2021-06-13,Men's Athletic Footwear,Midwest,Foot Locker,0,Illinois,50,1000,20,2021,6
298,2021-06-14,Women's Street Footwear,Midwest,Foot Locker,0,Illinois,40,900,23,2021,6
299,2021-06-15,Women's Athletic Footwear,Midwest,Foot Locker,0,Illinois,45,338,8,2021,6
300,2021-06-16,Men's Apparel,Midwest,Foot Locker,0,Illinois,60,750,13,2021,6
301,2021-06-17,Women's Apparel,Midwest,Foot Locker,0,Illinois,50,1125,23,2021,6
302,2021-06-18,Men's Street Footwear,Midwest,Foot Locker,0,Illinois,50,2250,45,2021,6
303,2021-06-19,Men's Athletic Footwear,Midwest,Foot Locker,0,Illinois,50,750,15,2021,6
304,2021-06-20,Women's Street Footwear,Midwest,Foot Locker,0,Illinois,40,600,15,2021,6
305,2021-06-21,Women's Athletic Footwear,Midwest,Foot Locker,0,Illinois,45,338,8,2021,6
306,2021-06-22,Men's Apparel,Midwest,Foot Locker,0,Illinois,60,600,10,2021,6
307,2021-06-23,Women's Apparel,Midwest,Foot Locker,0,Illinois,50,1125,23,2021,6
308,2021-06-24,Men's Street Footwear,Midwest,Foot Locker,0,Illinois,60,2970,50,2021,6
309,2021-06-25,Men's Athletic Footwear,Midwest,Foot Locker,0,Illinois,55,1100,20,2021,6
310,2021-06-26,Women's Street Footwear,Midwest,Foot Locker,0,Illinois,50,875,18,2021,6
